company,job_title,seniority,employment_type,job_function,industry,location,posted_date
PayPal,Data Analyst 2,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services","Bengaluru, Karnataka, India",4 weeks ago
KreditBee,Interesting Job Opportunity: KreditBee - Data Analyst/Senior Data Analyst - Python/SQL,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics","Bengaluru, Karnataka, India",1 month ago
Fusion Plus Solutions Inc,"Data Analysis, SQL, Python",Associate,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago
Absolutdata Analytics-an Infogain company,AbsolutData - Data Analyst,Entry level,Full-time,Information Technology,"Market Research, Research Services, and Outsourcing and Offshoring Consulting","Hyderabad, Telangana, India",1 month ago
Kaleidofin Private Limited,Data Analyst,Associate,Full-time,Information Technology,"Banking, Financial Services, and Accounting","Bengaluru, Karnataka, India",1 month ago
WIZ,Data Analyst,Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage, Freight and Package Transportation, and Truck Transportation","Chennai, Tamil Nadu, India",2 weeks ago
Squareboat,Data Analyst,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Gurugram, Haryana, India",3 weeks ago
VerSe Innovation,Senior Data Analyst ,Mid-Senior level,Full-time,"Analyst, Research, and Engineering","IT Services and IT Consulting, Online Audio and Video Media, and Technology, Information and Internet","Bengaluru, Karnataka, India",1 week ago
NxtWave,NxtWave - Data Management Analyst,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media","Hyderabad, Telangana, India",1 month ago
Taggd,Data Analyst with AWS,Mid-Senior level,Full-time,Marketing,"Advertising Services, Information Services, and Technology, Information and Internet","Bangalore Urban, Karnataka, India",5 days ago
Nexplace Info Private Limited,Data Analyst - R/SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics","Bengaluru, Karnataka, India",1 month ago
Rehlat,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Hyderabad, Telangana, India",1 month ago
Parity Cube Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Mumbai, Maharashtra, India",1 month ago
Hypersonix Inc.,Senior Data Analyst,Mid-Senior level,Full-time,Information Technology,Internet Publishing,India,1 month ago
Unnati,Data Analyst - SQL,Mid-Senior level,Full-time,Information Technology,Farming,"Mumbai, Maharashtra, India",1 month ago
